#,Time of Day,Thread,Module,API,Return Value,Error,Duration
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000027
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000022
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""ExitProcess"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000017
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000015
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000007
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000005
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""CreateFileW"" )",,,0
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000011
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000005
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.000003
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000014
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""WriteFile"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000013
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000035
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000025
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""ReadFile"" )",,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000501
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000034
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000019
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""CloseHandle"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000055
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000665
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000039
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000029
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""GetFileSize"" )",,,0.0000003
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000042
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000073
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.000001
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000079
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000056
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""ExitThread"" )",,,0.0000005
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000054
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000103
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000007
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000071
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000031
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""HeapAlloc"" )",,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000003
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000052
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000047
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000005
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000097
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000126
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""HeapCreate"" )",,,0.0000004
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000003
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000036
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000045
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000006
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000067
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.000003
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""HeapDestroy"" )",,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000109
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000021
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000023
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000016
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""OutputDebugStringW"" )",,,0.0000003
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000003
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000027
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000007
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000034
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000063
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000049
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""HeapFree"" )",,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000027
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""user32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000045
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""user32.dll"" )",,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000015
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000007
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""wsprintfW"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000011
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000006
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000007
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""SetFilePointer"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000011
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000007
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000014
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000008
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""GetModuleFileNameW"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000009
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000011
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000012
